algorithm,0,1,2,100,1234567890,4294967295,4294967296,4294967297,281474976710655,281474976710656,281474976710657,18446744073709551615,18446744073709551616,18446744073709551617,340282366920938463463374607431768211455,340282366920938463463374607431768211456,340282366920938463463374607431768211457,115792089237316195423570985008687907853269984665640564039457584007913129639935,
uintToStringProvable,132,1050,1050,2576,7917,7917,7917,7917,11732,11732,11732,15547,15547,15547,30050,30050,30050,59813,
uintToStringOZ,506,506,506,652,1092,1092,1092,1092,1440,1440,1440,1734,1734,1734,2934,2934,2934,5364,
uintToStringMikhail,132,1803,1803,1779,1773,1773,1773,1773,1731,1731,1731,1749,1749,1749,3143,3143,3143,4441,
uintToStringSaturn,132,362,362,389,719,719,719,719,865,865,865,1102,1102,1102,1976,1976,1976,3647,
